
OS		Compiler		Makefile
-----------------------------------------------------------------------------
Linux		gcc			makefile.lnx
OS/2		EMX			makefile.emo
OS/2		IBM CSet		makefile.ibo
OS/2		Watcom			makefile.wco
OS/2		High C			makefile.hco
OS/2		Borland			makefile.bco
DOS		DJGPP			makefile.djd
DOS		Borland			makefile.bcd
DOS		Quick C			makefile.qcd
DOS		Watcom			makefile.wcd
DOS 32Bit    	Watcom			makefile.wcx
Win32   	Watcom			makefile.wcw
Win32		Ming			makefile.mgw
Win32		Borland			makefile.bcw
Win NT		RSX			makefile.rxw
FreeBSD		gcc			makefile.bsd
Tru64 Unix      DEC cc			makefile.osf
Sun		gcc			makefile.sun
AIX		IBM xlC			makefile.aix

